sample_id	cram_file_gcp	cram_index_gcp	cram_file_aws	cram_index_aws	cram_file_md5	cram_file_size	cram_index_md5
GTEX-1117F-0003-SM-6WBT7	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-1117F-0003-SM-6WBT7.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-1117F-0003-SM-6WBT7.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1117F-0003-SM-6WBT7.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1117F-0003-SM-6WBT7.crai	e4593d61fd70c7a152ea5a6fb5d8b798	49755594764	07f6c93a873ab67bc8cd0bcff1da7cdb
GTEX-111CU-0003-SM-6WBUD	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-111CU-0003-SM-6WBUD.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-111CU-0003-SM-6WBUD.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111CU-0003-SM-6WBUD.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111CU-0003-SM-6WBUD.crai	e78c220ccd642a47e3e1631982eb6c9b	47037775969	8a2c559a5451cb358f922da1da36c383
GTEX-111FC-0001-SM-6WBTJ	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-111FC-0001-SM-6WBTJ.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-111FC-0001-SM-6WBTJ.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111FC-0001-SM-6WBTJ.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111FC-0001-SM-6WBTJ.crai	e3da69f44f149826bd79ac53329f2139	51332177095	4760ec062f18f974e09a5eb906be5503
GTEX-111VG-0004-SM-6WBTS	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-111VG-0004-SM-6WBTS.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-111VG-0004-SM-6WBTS.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111VG-0004-SM-6WBTS.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111VG-0004-SM-6WBTS.crai	2b9d6e5358288284cd4b8edcd4b10442	52095952984	fc59e5272b1da81ee0edbc8b20920177
GTEX-111YS-0004-SM-6WBTN	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-111YS-0004-SM-6WBTN.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-111YS-0004-SM-6WBTN.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111YS-0004-SM-6WBTN.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-111YS-0004-SM-6WBTN.crai	8807f7f757aaaa159cf8ba1a8b914f8e	55790590808	64025422a239216a0ba2fabfa4aebb04
GTEX-1122O-0004-SM-6WBTE	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-1122O-0004-SM-6WBTE.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-1122O-0004-SM-6WBTE.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1122O-0004-SM-6WBTE.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1122O-0004-SM-6WBTE.crai	29d8ef72e89cca4dfa8025dfbd918365	49374726149	6e9ff3a8527d797b38dbb048857b10aa
GTEX-1128S-0001-SM-6WBUH	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-1128S-0001-SM-6WBUH.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-1128S-0001-SM-6WBUH.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1128S-0001-SM-6WBUH.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-1128S-0001-SM-6WBUH.crai	dcf620dd997cc48191560970adc13dbf	54609637828	1e87ea1bdc7e1bf7e65ca6d494ff99fa
GTEX-113JC-0001-SM-6WBTD	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-113JC-0001-SM-6WBTD.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-113JC-0001-SM-6WBTD.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-113JC-0001-SM-6WBTD.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-113JC-0001-SM-6WBTD.crai	580af008f975e5747a23c1b372de5a4a	47962206125	48f7eab61868bb18b0c918e09a473647
GTEX-117XS-0001-SM-6WBTA	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-117XS-0001-SM-6WBTA.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-117XS-0001-SM-6WBTA.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-117XS-0001-SM-6WBTA.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-117XS-0001-SM-6WBTA.crai	d62295fafa9c8493af891bfb1d356f20	52293099046	f87ba7716faea312f2c82a47b32fcbe2
GTEX-117YW-0003-SM-6WBSY	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-117YW-0003-SM-6WBSY.cram	gs://gtex-v7-exchange-011618/wgs_cram_files/GTEX-117YW-0003-SM-6WBSY.crai	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-117YW-0003-SM-6WBSY.cram	s3://nih-nhgri-datacommons/gtex_v7/wgs/GTEX-117YW-0003-SM-6WBSY.crai	0bb0b52146b9c392696e1b3d301187f0	52949403114	bb1ddb7a12d54b6e04e590b75a4b4d2a
